Town,Total,White,Black / African American,American Indian / Alaska Native,Asian,Hispanic,Native Hawaiian / Pacific Islander,Some other race,Two or more races,Male,Female,Under 5 years,5 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Median Age,Population in Households,Population in Group Quarters,Total Lang,Speak only English,Speak some other language,"Speak English ""very well""","Speak English ""well""","Speak English ""not well""","Speak English ""not at all""",Total MF,Male,Female,Working,Drove Alone,Carpooled,Bus or Trolley Bus,Streetcar or Trolley Car,Subway or Elevated,Railroad,Ferryboat,Taxicab,Motorcycle,Bicycle,  Walked,Other Means,Worked at Home,Mean Travel Time to Work (min),Total households,Average household size,1 Person Household,2 Person Household,3 Person Household,4 Person Household,5 Person Household,6 Person Household,7+ Person Household,Average Vehicles per Household,No vehicle available,1 vehicle available,2 vehicles available,3 vehicles available,4 vehicles available,5 or more vehicles available,Median household income ($),"Under 10,000","10,000 to 19,999","20,000 to 29,999","30,000 to 39,999","40,000 to 49,999","50,000 to 59,999","60,000 to 74,999","75,000 to 99,999","100,000 to 124,999","125,000 to 149,999","150,000 to 199,999","200,000 and up"
Pembroke,17837,17138,105,24,167,193,3,43,164,8756,9081,1033,3637,1198,1644,2770,3221,2333,1252,749,41,17751,86,16804,16053,751,566,104,57,24,13289,6292,6997,10981,8666,739,33,11,100,840,0,18,8,0,80,38,448,34.2,6298,2.82,1217,1903,1132,1242,561,174,69,2.1,89,1407,3106,1299,310,87,80694,143,462,326,284,390,334,940,1031,917,479,517,475
Pepperell,11497,10946,50,14,133,194,0,20,140,5703,5794,594,2298,952,953,1601,2299,1677,651,472,42,11488,9,10903,10503,400,358,33,9,0,8771,4236,4535,32619,22720,2559,1251,52,582,293,0,102,0,529,2743,291,1497,32.3,4197,2.74,850,1329,802,751,314,94,57,2.17,58,956,1983,743,311,146,82055,87,251,178,270,293,346,426,636,521,460,387,342
Peru,847,829,8,3,3,0,0,0,4,437,410,26,153,55,67,131,189,148,51,27,44,847,0,821,799,22,18,4,0,0,682,370,312,4570,3919,453,0,0,0,0,0,0,0,0,52,26,120,36.1,336,2.52,65,128,69,56,13,5,0,2.06,9,71,170,68,12,6,66250,15,28,24,43,30,11,56,57,43,19,11,-1
Petersham,1234,1204,2,1,5,13,0,0,9,631,603,57,190,78,73,154,245,226,118,93,48,1196,38,1177,935,242,237,5,0,0,1130,453,677,10916,9556,718,71,0,0,47,16,0,0,0,177,9,322,35.8,493,2.43,115,197,87,58,24,10,2,2.07,8,133,206,121,14,11,62411,15,51,44,47,40,34,47,80,45,54,21,15
Phillipston,1682,1593,20,0,9,38,0,0,22,853,829,76,311,118,156,256,369,231,102,63,43,1682,0,1606,1540,66,44,19,3,0,1443,722,721,2295,1855,198,0,0,0,0,0,0,0,0,61,20,161,32,633,2.66,112,245,112,105,37,16,6,2.29,9,115,289,146,55,19,70493,10,17,67,36,50,48,135,109,90,30,37,4
Plainfield,648,617,14,1,4,9,0,0,3,322,326,32,101,31,54,76,113,134,69,38,48,646,2,616,565,51,41,6,4,0,532,268,264,324,267,36,4,0,0,0,0,0,0,0,0,0,17,33.8,269,2.4,69,111,37,31,12,4,5,2.13,6,54,144,39,18,8,57054,9,28,24,33,17,29,28,62,6,17,8,8
Plainville,8264,7691,80,9,257,147,0,6,74,4046,4218,457,1455,588,973,1268,1410,1000,634,479,40,8234,30,7807,7238,569,458,98,0,13,6275,2525,3750,18483,12493,1698,2146,123,394,64,0,64,0,184,440,55,822,28.9,3303,2.49,891,1089,523,512,209,57,22,1.77,217,997,1532,462,77,18,73645,148,244,192,268,200,275,405,409,515,306,208,133
Plymouth,56468,52238,1106,175,514,1030,22,471,912,27910,28558,3187,9280,4102,6412,8462,8840,8232,4544,3409,41,54275,2193,53281,49679,3602,2198,626,561,217,44818,22049,22769,6141,4710,464,20,9,33,181,0,0,22,0,146,44,512,33.7,21269,2.55,5050,7483,3536,3230,1350,447,173,1.87,896,5923,10714,2601,975,160,74767,931,1537,1320,1539,1410,1529,2412,3399,2836,1848,1451,1057
Plympton,2820,2708,23,2,22,36,0,5,24,1384,1436,125,499,232,217,373,528,463,262,121,44,2820,0,2695,2655,40,40,0,0,0,2199,1058,1141,7860,6686,868,0,9,0,0,0,0,4,0,129,13,151,32.3,1006,2.8,179,351,157,190,88,27,14,2.48,11,135,422,302,73,63,87917,38,38,64,11,77,107,54,228,131,109,80,69
Princeton,3413,3277,14,1,40,49,0,0,32,1709,1704,132,684,182,208,391,735,683,251,147,47,3412,1,3281,3179,102,93,0,9,0,2648,1284,1364,11888,7131,418,204,23,116,820,0,29,0,57,1930,151,1009,31.3,1279,2.67,190,548,214,210,81,21,15,2.35,33,192,601,284,92,77,102853,9,51,76,67,73,135,55,136,189,99,238,151
Provincetown,2942,2603,114,11,18,142,0,9,45,1602,1340,55,146,87,238,393,749,675,321,278,52,2898,44,2887,2544,343,301,29,13,0,2950,1711,1239,1610,1161,67,55,0,0,0,0,0,5,0,135,15,172,19.1,1765,1.64,959,600,129,50,17,7,3,1.19,311,917,443,81,13,0,44646,91,286,247,187,198,106,159,227,93,38,54,79
Quincy,92271,60448,3998,137,22124,3089,21,768,1686,44199,48072,4978,10325,8020,17117,13113,13695,11117,6646,7260,39,90871,1400,87293,60101,27192,14435,5777,4545,2435,77428,36495,40933,534,338,64,10,0,0,7,0,0,3,0,32,0,80,31.3,40658,2.24,15340,12500,5798,4100,1763,691,466,1.31,6776,19009,11410,2629,571,263,59803,2561,4278,3294,3272,3675,3298,4254,6236,3801,2480,1984,1525
Raynham,13383,12319,344,23,209,247,0,58,183,6523,6860,747,2482,987,1315,1976,2216,1783,1007,870,41,13226,157,12636,11835,801,588,146,67,0,9935,4652,5283,2987,2594,194,0,0,0,0,0,0,0,0,59,57,83,30.6,4875,2.71,1004,1605,866,836,384,134,46,1.89,112,1585,2210,703,205,60,75872,85,197,373,260,570,461,453,834,670,282,462,228
Reading,24747,22877,183,10,1029,378,6,26,238,12013,12734,1548,4698,1453,2433,3593,4289,3243,1670,1820,42,24566,181,23199,21386,1813,1470,264,79,0,18449,8671,9778,3334,2802,122,15,0,24,98,0,0,30,23,102,13,105,29.9,9305,2.64,2189,2900,1539,1722,733,173,49,1.92,468,2302,4654,1432,329,120,99130,223,488,427,465,428,408,864,1390,1150,1110,1138,1214
Rehoboth,11608,11084,56,22,115,183,4,26,118,5805,5803,558,2159,908,869,1611,2272,1787,877,567,44,11596,12,11050,9895,1155,671,379,105,0,9029,4532,4497,1771,1442,215,0,0,0,0,0,0,0,0,80,0,34,26.5,4101,2.83,634,1460,721,780,352,103,51,2.22,20,806,2067,793,282,133,87597,90,197,166,297,223,331,415,591,501,512,446,332
Revere,51755,32299,2237,66,2856,12617,6,787,887,25382,26373,3195,7317,4827,8330,7605,7367,5594,3624,3896,38,51475,280,48560,28322,20238,8951,5247,3925,2115,40471,20007,20464,2119,1623,78,38,0,0,19,0,0,0,9,56,0,296,29.1,20454,2.52,6545,5730,3330,2559,1287,558,445,1.32,3488,9202,6041,1289,296,138,49759,1938,2153,2201,2195,1783,1576,2196,2636,1879,996,699,202
Richmond,1475,1424,4,4,8,22,0,2,11,715,760,32,212,61,83,143,291,315,211,127,52,1471,4,1443,1329,114,101,10,3,0,1481,742,739,13737,11504,1321,122,0,30,0,0,0,0,0,385,9,366,25.4,657,2.24,169,295,95,73,16,8,1,1.98,34,160,322,87,36,18,87682,17,41,41,51,34,38,64,126,73,23,76,73
Rochester,5232,4973,51,4,33,40,0,44,87,2638,2594,236,1079,348,346,760,1012,851,388,212,43,5228,4,4996,4523,473,333,140,0,0,4009,2012,1997,827,660,34,0,0,0,3,0,0,4,0,71,3,52,33.5,1813,2.88,271,598,361,341,174,47,21,2.39,11,282,787,534,132,67,95022,8,60,114,131,72,80,227,340,282,240,172,87
Rockport,6952,6666,41,4,56,111,6,9,59,3205,3747,262,934,416,462,730,1170,1370,844,764,51,6883,69,6690,6364,326,251,34,41,0,5832,2614,3218,8931,7059,750,61,0,13,178,0,11,11,25,178,89,556,31,3213,2.14,1174,1143,391,330,133,33,9,1.65,217,1382,1106,353,137,18,70625,135,280,232,269,188,336,215,316,328,372,358,184
Rowe,393,380,4,0,0,4,0,0,5,188,205,17,64,20,20,47,53,74,53,45,51,393,0,376,362,14,14,0,0,0,343,166,177,18174,15536,1327,59,0,0,0,0,28,0,79,532,98,515,29.8,167,2.35,44,73,19,19,8,1,3,1.95,2,56,74,25,4,6,46250,2,17,30,27,11,17,26,13,10,12,3,-1
Rowley,5856,5660,16,1,60,59,4,13,43,2897,2959,326,1105,366,486,815,1222,864,384,288,43,5803,53,5530,5329,201,97,90,14,0,4493,2198,2295,10414,8657,683,17,0,23,126,0,0,10,9,42,24,823,31,2155,2.69,401,755,384,411,152,34,18,2,112,495,1017,343,188,0,74911,17,201,132,54,169,166,340,217,301,195,140,223
Royalston,1258,1203,3,1,9,33,0,0,9,626,632,58,211,100,100,145,275,223,88,58,46,1258,0,1200,1111,89,74,15,0,0,947,498,449,932,774,78,16,0,0,0,0,0,0,3,6,0,55,32.7,498,2.53,130,178,79,61,28,13,9,2.09,9,125,229,100,18,17,60385,17,45,31,43,77,33,45,108,36,49,6,8
Russell,1775,1701,12,2,5,46,0,1,8,873,902,103,340,126,200,236,323,272,97,78,40,1774,1,1672,1572,100,67,13,20,0,1334,648,686,3826,3004,333,0,0,0,51,0,0,0,0,19,26,393,31.7,656,2.7,107,259,124,102,40,11,13,1.91,30,176,327,86,22,15,57750,24,59,34,73,75,81,56,109,67,39,38,1
Rutland,7973,7510,91,6,126,146,1,14,79,3945,4028,502,1774,553,703,1385,1436,887,446,287,39,7941,32,7471,7032,439,322,106,10,1,5687,3012,2675,4365,3167,319,5,3,40,106,0,0,12,12,213,12,476,28.4,2791,2.85,534,826,473,589,264,80,25,2.06,24,712,1413,430,152,60,81295,85,125,145,94,338,133,372,482,334,431,146,106
Salem,41340,31377,1450,66,1083,6465,17,166,716,19233,22107,2307,5421,5297,6221,5587,6060,5105,2670,2672,38,39570,1770,39033,29293,9740,5933,1831,1363,613,33732,15578,18154,7658,6752,505,0,0,0,33,0,0,0,0,37,30,301,28.6,17842,2.22,6301,5972,2630,1852,730,220,137,1.43,2470,7741,5803,1296,446,86,56979,1213,1998,1770,1598,1309,1440,1835,2554,1546,1212,800,567
Sandisfield,915,875,8,0,7,10,2,2,11,490,425,39,118,35,63,122,173,184,115,66,50,861,54,876,831,45,36,4,5,0,676,337,339,27979,21745,2559,396,11,1459,474,145,19,40,43,419,124,545,38.5,377,2.28,106,152,52,48,13,4,2,2.08,3,93,182,75,17,7,62411,14,25,36,36,28,35,78,54,28,8,7,28
Saugus,26628,23860,525,28,708,1066,1,132,308,12688,13940,1192,3904,2056,2945,3663,4392,3832,2305,2339,44,26293,335,25436,21289,4147,2772,883,388,104,21770,10272,11498,7438,6166,742,13,0,91,269,0,0,8,6,45,6,92,26.9,10318,2.55,2661,3356,1793,1505,657,244,102,1.82,644,3379,4178,1475,573,69,71023,546,827,864,716,866,571,1131,1636,1049,935,735,442
Savoy,692,644,13,4,1,9,0,0,21,351,341,24,116,36,51,105,123,144,57,36,46,692,0,668,619,49,39,10,0,0,632,351,281,6877,6147,327,22,0,0,0,0,0,23,0,22,35,301,34.5,298,2.32,84,120,37,34,17,6,0,2.15,8,79,100,84,24,3,55500,11,13,55,32,28,18,42,58,8,14,12,7
Seekonk,13722,12898,137,23,166,251,2,73,172,6662,7060,581,2411,1019,1168,1958,2520,2010,1107,948,44,13722,0,13141,11727,1414,908,290,216,0,10873,5160,5713,3009,1984,209,0,0,0,0,0,0,15,91,409,43,258,22.8,5071,2.71,897,1811,978,874,361,99,51,2.08,86,1255,2286,1100,298,46,76283,181,398,366,408,334,413,373,739,734,470,299,356
Sharon,17612,14271,701,9,1920,373,6,49,283,8496,9116,833,3981,937,1135,2388,3382,2725,1237,994,43,17542,70,16779,13366,3413,2550,526,316,21,13141,6307,6834,11499,9860,804,21,0,118,306,0,0,18,6,89,0,277,35.8,6219,2.82,1003,2015,1204,1360,435,149,53,1.99,314,1353,3135,992,369,56,115172,202,367,183,321,193,227,506,656,695,668,972,1229
Sheffield,3257,3070,34,5,11,105,0,2,30,1618,1639,119,495,199,269,373,623,548,343,288,48,3248,9,3138,2934,204,126,30,48,0,2735,1331,1404,4546,3588,505,14,0,0,0,0,0,0,0,185,78,176,19.6,1424,2.28,443,526,206,155,62,22,10,1.69,111,509,575,177,41,11,47145,108,162,157,172,145,106,80,225,95,17,117,40
Shelburne,1893,1807,10,3,23,10,0,0,40,933,960,75,257,135,181,213,304,358,188,182,48,1847,46,1818,1651,167,129,4,34,0,1729,757,972,9039,6596,753,34,0,220,591,0,0,11,74,239,44,477,23.9,849,2.18,286,330,107,70,39,15,2,1.91,40,257,341,164,41,6,63542,37,80,96,52,77,75,81,141,88,68,43,11
Sherborn,4119,3845,16,1,137,57,0,10,53,2004,2115,177,1062,196,145,430,917,638,309,245,46,4119,0,3942,3483,459,400,43,16,0,3084,1503,1581,553,489,27,0,0,0,0,0,0,0,0,4,0,33,34.5,1438,2.86,217,488,242,298,157,29,7,2.31,27,253,634,352,122,50,145250,42,20,54,52,62,38,63,109,144,173,146,535
Shirley,7211,5739,574,12,200,561,5,11,109,4252,2959,325,1022,552,1155,1261,1307,917,356,316,39,5757,1454,6886,6037,849,603,190,56,0,5916,3488,2428,8752,5992,757,248,127,980,98,0,26,0,12,204,73,235,37.1,2264,2.54,555,788,381,333,142,36,29,1.77,89,797,1006,297,61,14,72598,67,155,218,144,178,171,321,333,345,146,153,33
Shrewsbury,35608,27534,717,27,5447,961,5,338,579,17365,18243,2051,7172,2224,3730,5647,6100,3866,2313,2505,40,35204,404,33557,26329,7228,3867,2499,652,210,26524,12723,13801,20156,16543,1986,443,0,197,134,0,36,39,0,328,56,394,27.3,13424,2.62,3297,3994,2359,2485,954,255,80,1.85,598,4158,6275,1658,540,195,85697,290,714,643,1042,1046,785,1195,2132,1649,1217,1521,1190
Shutesbury,1771,1595,37,7,19,55,0,3,55,845,926,82,319,100,159,207,362,389,94,59,46,1771,0,1689,1604,85,61,10,11,3,1502,703,799,81615,61932,8141,1821,63,164,565,0,196,82,382,4977,495,2797,27.5,714,2.48,167,254,133,116,35,7,2,2.05,3,210,317,129,41,14,67500,28,32,51,48,61,76,89,95,86,62,41,45
Somerset,18165,17555,66,20,148,191,1,26,158,8621,9544,798,2706,1236,1693,2534,2842,2459,1743,2154,45,17896,269,17367,14850,2517,1736,403,294,84,15221,6882,8339,639,523,53,0,0,0,2,0,0,0,0,15,3,43,24.5,7087,2.53,1657,2488,1323,1064,387,111,57,1.94,440,2130,2661,1367,286,203,67077,231,665,608,560,589,560,763,1326,879,406,369,131
Somerville,75754,52359,4869,90,6578,8017,16,1689,2136,37158,38596,3499,5635,11340,23805,10766,7771,6029,3523,3386,31,73485,2269,72255,48709,23546,15742,4534,2681,589,66990,31527,35463,5648,4948,203,11,0,14,191,0,0,0,0,35,44,202,28.8,32105,2.29,10276,11071,5437,3304,1243,449,325,1.16,7724,14803,7248,1551,629,150,61731,2377,2852,2588,2677,2971,2112,3415,4752,3434,1749,1876,1302
South Hadley,17514,15308,368,20,701,753,9,33,322,7176,10338,685,2273,3088,1671,1999,2558,2219,1370,1651,41,15314,2200,16829,15449,1380,1280,81,19,0,14908,6016,8892,10582,8746,776,78,0,0,0,14,12,0,48,227,83,598,21.2,6793,2.25,2189,2439,989,769,284,91,32,1.67,424,2485,2938,783,155,8,62236,295,534,392,628,580,815,781,1431,543,330,230,234
Southampton,5792,5593,20,5,32,85,0,3,54,2808,2984,246,1017,385,454,824,1081,1041,458,286,45,5792,0,5546,5102,444,137,90,155,62,4608,2317,2291,15055,11761,812,145,7,111,1230,0,33,0,0,498,70,388,24.8,2249,2.58,456,848,397,376,123,27,22,2.25,25,387,1062,597,142,36,80738,43,204,144,140,161,111,275,292,430,209,94,146
Southborough,9767,8405,80,13,813,272,0,36,148,4836,4931,515,2494,436,561,1458,2024,1178,664,437,42,9629,138,9252,8043,1209,947,179,59,24,6988,3443,3545,1974,1473,117,81,0,31,0,28,0,0,20,73,0,151,31.3,3332,2.89,514,1011,625,789,315,67,11,2.13,36,622,1797,668,180,29,140184,41,110,152,28,186,89,288,312,278,353,470,1025
Southbridge,16719,11465,236,58,296,4452,3,18,191,8059,8660,1019,2843,1616,2155,2337,2437,2016,1081,1215,38,16535,184,15700,11118,4582,2616,965,756,245,12827,6201,6626,1044,866,109,3,0,2,0,0,0,13,0,5,3,43,22,6866,2.41,2090,2163,1203,863,334,137,76,1.52,801,2914,2246,653,208,44,47234,468,925,798,786,706,584,824,914,436,211,166,48
Southwick,9502,9028,79,23,77,198,3,1,93,4714,4788,417,1693,675,859,1328,1835,1297,703,695,44,9487,15,9085,8269,816,542,214,36,24,7428,3652,3776,3474,2695,381,0,0,0,0,0,0,0,0,139,30,229,27.8,3710,2.56,898,1258,632,583,236,73,30,1.95,172,1128,1501,607,239,63,72331,33,370,318,361,193,219,475,701,309,320,191,220
Spencer,11688,11061,61,20,79,335,5,10,117,5829,5859,625,1860,920,1417,1561,1961,1687,910,747,42,11616,72,11063,10038,1025,827,143,54,1,9505,4559,4946,2349,1916,160,0,0,0,0,0,0,10,17,101,12,133,32.7,4744,2.45,1278,1655,813,601,257,100,40,1.89,270,1491,1966,640,275,102,63761,285,404,433,395,339,384,537,896,365,316,276,114
Springfield,153060,56248,29934,329,3615,59451,47,248,3188,72573,80487,11183,30145,20023,20436,18986,19710,15817,8519,8241,32,147383,5677,141877,94013,47864,27301,8294,8031,4238,116758,53980,62778,589,483,16,4,0,4,0,0,0,0,0,11,3,68,20.7,56752,2.6,17013,15570,9908,7312,3901,1760,1288,1.23,11727,25908,14633,3394,733,357,34628,8121,9978,7222,5966,4682,4199,5228,6153,2846,1032,827,498
Sterling,7808,7441,52,13,67,158,5,5,67,3841,3967,403,1500,460,589,1087,1491,1222,579,477,44,7663,145,7405,7146,259,186,63,10,0,6058,2964,3094,7236,5911,845,58,0,0,29,0,0,0,0,128,20,245,32.1,2810,2.73,510,998,481,524,212,60,25,2.17,99,498,1253,778,158,24,102115,87,14,230,199,141,154,255,294,309,489,370,268
Stockbridge,1947,1826,18,1,19,59,0,8,16,915,1032,56,188,110,162,186,318,418,284,225,54,1808,139,1891,1663,228,165,0,63,0,1387,609,778,5881,5041,459,0,0,0,0,0,0,14,0,134,18,215,19,919,1.97,366,363,89,72,18,7,4,1.57,51,434,320,99,8,7,55096,70,72,52,91,110,110,112,138,71,32,25,36
Stoneham,21437,19404,339,18,723,634,5,83,231,10148,11289,1081,3171,1335,2447,2924,3510,2988,1845,2136,44,21193,244,20356,17921,2435,1533,610,277,15,17479,8289,9190,2183,1904,87,9,0,11,14,0,0,0,0,63,0,95,25.2,8994,2.36,2872,2852,1392,1218,473,126,61,1.71,483,3320,3856,1075,203,57,76574,454,592,633,655,535,715,756,1580,1181,637,795,461
Stoughton,26962,21140,2878,35,970,876,2,448,613,12926,14036,1456,4284,1997,2955,3689,4501,3661,2289,2130,43,26617,345,25506,20152,5354,2965,1179,676,534,21829,10294,11535,25048,21625,1683,178,0,204,236,0,45,23,88,275,117,574,28.9,10295,2.59,2632,3243,1828,1548,664,244,136,1.78,791,3358,4189,1403,375,179,67175,564,1102,862,714,750,660,1050,1273,1217,764,975,364
Stow,6590,6079,44,9,213,122,0,10,113,3244,3346,412,1344,316,411,987,1315,965,489,351,44,6588,2,6178,5737,441,329,89,23,0,4831,2387,2444,673,524,46,0,0,0,0,0,0,3,7,12,0,81,29.3,2429,2.71,422,871,421,484,182,36,13,2.11,14,424,1479,345,120,47,117440,46,53,147,52,103,92,216,398,226,365,328,403
Sturbridge,9268,8665,56,23,184,231,0,12,97,4568,4700,616,1693,511,910,1428,1526,1244,745,595,42,9256,12,8652,8076,576,479,84,13,0,7078,3183,3895,9236,7549,696,38,25,88,179,0,0,0,0,93,0,568,30.9,3611,2.56,817,1294,583,601,228,68,20,1.79,107,1234,1704,452,90,24,71607,277,240,257,117,313,191,469,514,476,237,271,249
Sunderland,3684,3118,93,12,190,181,1,11,78,1813,1871,137,380,829,639,347,539,461,168,184,31,3642,42,3547,3223,324,227,83,14,0,3156,1591,1565,442,402,33,0,0,0,0,0,0,0,0,0,0,7,21.5,1648,2.21,478,665,282,157,47,13,6,1.64,89,711,606,204,21,17,53945,119,173,186,100,193,125,223,155,159,83,33,99
Sutton,8963,8604,38,3,84,115,8,8,103,4419,4544,439,1868,578,639,1400,1731,1329,630,349,43,8961,2,8524,8004,520,456,44,0,20,6638,3256,3382,559,431,36,3,0,0,9,0,0,0,0,13,0,67,27.9,3213,2.79,544,1094,576,634,267,69,29,2.19,43,691,1460,707,263,49,105164,54,94,170,119,203,82,344,500,461,235,645,306
Swampscott,13787,12824,157,7,264,355,4,21,155,6478,7309,749,2395,766,1066,1853,2402,2108,1114,1334,45,13605,182,13038,11126,1912,1459,289,148,16,11103,4646,6457,947,842,59,0,0,0,0,0,0,3,0,6,0,37,29.5,5520,2.46,1427,1894,948,836,319,79,17,1.73,208,1998,2604,491,198,21,90763,337,327,256,262,248,367,316,889,745,430,475,868
Swansea,15865,15287,95,9,109,173,1,32,159,7769,8096,694,2453,1100,1526,2332,2650,2419,1372,1319,44,15652,213,15171,13425,1746,1027,455,228,36,13377,6712,6665,21063,17105,2177,224,0,0,18,0,35,31,138,892,69,374,23.7,6079,2.57,1298,2185,1129,964,352,101,50,2.1,183,1656,2523,1017,523,177,68773,138,505,476,484,440,620,703,999,749,544,154,267
Taunton,55874,47221,2529,108,546,3058,18,867,1527,26752,29122,3523,9088,4615,7465,8054,9085,6475,3843,3726,39,55090,784,52351,42093,10258,6130,2228,1580,320,44765,21326,23439,308,227,15,2,0,0,0,0,0,0,0,14,0,50,26.9,22332,2.47,6465,7014,3783,3103,1309,441,217,1.73,1609,8083,8669,2964,810,197,53600,1381,2632,2046,1987,2331,1867,2461,2934,2287,1081,1013,312
Templeton,8013,7656,52,7,42,153,0,4,99,4047,3966,445,1479,575,763,1168,1412,1063,615,493,42,7775,238,7568,7191,377,214,147,16,0,6145,2901,3244,4354,3807,214,0,0,41,105,0,0,15,0,44,15,113,24.8,2882,2.7,571,1040,494,467,200,67,43,2.09,94,743,1256,494,197,98,66138,139,220,251,123,322,188,444,645,319,108,55,68
Tewksbury,28961,26886,307,27,785,602,1,49,304,14046,14915,1480,5055,1985,2902,4135,5181,4023,2277,1923,43,28328,633,27481,24591,2890,2190,459,176,65,22786,10483,12303,26985,21883,2174,249,0,113,440,0,12,6,105,400,180,1423,29.3,10492,2.7,2256,3405,1842,1821,763,267,138,1.97,457,2827,4739,1716,566,187,84149,227,802,635,516,748,643,1143,1594,1448,1040,1194,502
Tisbury,3949,3334,141,16,30,118,1,189,120,1926,2023,199,529,260,495,535,635,637,353,306,44,3949,0,3750,3037,713,487,65,160,1,3254,1574,1680,1335,1104,86,0,0,8,43,0,0,0,0,42,0,52,12.3,1806,2.19,649,616,245,193,71,21,11,1.68,176,670,705,142,39,74,58551,136,178,150,132,103,241,137,196,288,113,93,39
Tolland,485,459,6,5,1,6,0,0,8,236,249,26,80,28,38,54,86,85,60,28,48,485,0,459,455,4,4,0,0,0,398,218,180,1892,1537,159,0,0,0,23,0,0,0,10,9,0,154,32.5,197,2.46,43,85,28,22,15,3,1,2.17,3,58,79,29,17,11,55714,4,16,6,15,20,43,24,24,11,10,17,7
Topsfield,6085,5802,27,4,75,112,0,8,57,2939,3146,271,1372,288,310,698,1204,890,483,569,46,5936,149,5814,5423,391,339,52,0,0,4457,2112,2345,1864,801,93,0,0,14,13,0,0,0,238,423,23,259,27.6,2090,2.84,348,699,361,392,223,52,15,2.05,88,290,1295,304,80,33,115015,41,140,72,21,151,90,168,189,268,237,235,478
Townsend,8926,8506,54,17,74,163,0,8,104,4413,4513,449,1774,705,827,1209,1766,1340,533,323,42,8925,1,8477,7821,656,511,51,64,30,6705,3406,3299,48577,29263,4354,1632,46,9907,506,32,85,12,84,1126,344,1186,33.8,3240,2.75,596,1105,590,570,269,70,40,2.17,76,764,1393,674,213,120,76533,110,203,168,146,143,276,520,633,346,340,293,62
Truro,2003,1883,38,3,10,41,0,4,24,989,1014,59,204,93,134,185,381,462,306,179,54,1999,4,1944,1851,93,61,32,0,0,1624,826,798,16450,12192,1761,559,61,1085,456,0,0,0,0,122,45,169,27.7,984,2.03,328,442,116,64,24,8,2,1.88,20,369,318,266,7,4,80425,59,103,82,100,58,65,16,214,125,51,54,57
Tyngsborough,11292,10237,118,9,531,265,0,9,123,5516,5776,580,2275,889,1043,1781,2266,1453,585,420,41,11279,13,10712,9832,880,569,169,128,14,8611,4179,4432,6657,5593,598,8,0,0,46,0,14,39,11,129,12,207,29.7,3999,2.82,727,1212,783,835,294,103,45,2.18,79,846,1925,678,360,111,95568,148,182,223,247,347,185,277,471,651,359,511,398
Upton,7542,7105,52,4,162,119,1,6,93,3697,3845,407,1731,369,570,1238,1516,949,442,320,42,7534,8,7135,6806,329,287,42,0,0,5277,2600,2677,5731,4936,296,26,0,0,59,0,0,10,20,117,0,267,30.8,2733,2.76,534,842,505,569,211,51,21,2.12,80,500,1430,504,180,39,107950,103,157,57,119,97,158,233,311,287,400,465,346
Uxbridge,13457,12756,101,7,140,257,2,24,170,6708,6749,791,2474,932,1272,2121,2497,1708,898,764,41,13405,52,12666,12008,658,548,74,36,0,10278,5261,5017,23605,13741,2531,1861,140,3859,331,0,15,17,13,449,360,288,31.3,5056,2.65,1102,1663,938,848,343,112,50,2.06,171,1196,2350,1006,188,145,81127,141,379,234,295,440,244,601,950,731,500,317,224
Wakefield,24932,23181,214,22,659,575,0,26,255,11989,12943,1401,3968,1585,3064,3686,4203,3354,1850,1821,42,24678,254,23531,21752,1779,1388,318,33,40,20088,9813,10275,790,619,102,0,0,3,0,0,0,0,6,14,0,46,28.7,9994,2.47,2812,3202,1664,1451,628,178,59,1.84,579,3156,4316,1338,476,129,89246,334,569,532,619,530,694,994,1289,1253,1112,1372,696
Wales,1838,1761,17,4,3,29,0,0,24,931,907,107,296,117,208,255,349,284,143,79,43,1838,0,1731,1690,41,25,13,3,0,1564,835,729,2667,2363,178,0,0,22,19,0,0,0,0,0,10,75,35.2,736,2.5,199,241,123,104,47,18,4,1.97,29,217,306,138,20,26,63800,20,49,66,67,52,87,70,107,102,52,53,11
Walpole,24070,21848,569,26,723,651,1,55,197,11822,12248,1333,4727,1526,2135,3467,4255,3057,1693,1877,42,23494,576,22737,20823,1914,1344,402,117,51,18181,8633,9548,8557,7193,553,9,0,94,296,0,0,13,0,233,0,166,30.8,8730,2.69,1997,2732,1464,1465,765,230,77,1.96,333,2450,4077,1165,526,179,89697,248,529,340,388,619,628,808,1182,918,868,1133,1069
Waltham,60632,41678,3459,66,5834,8280,31,272,1012,30204,30428,3191,5656,11147,11390,7776,7559,6460,3700,3753,34,53946,6686,57441,38926,18515,10895,4806,2172,642,52793,27156,25637,3185,2243,181,37,0,0,229,0,0,11,0,253,12,219,22.3,23690,2.28,8267,7771,3486,2414,1068,398,286,1.57,1894,10473,8697,1554,800,272,66346,1707,2082,1476,1706,1969,1671,2516,3407,2392,1420,1851,1493
Ware,9872,9101,95,25,68,389,0,7,187,4851,5021,611,1545,782,1201,1320,1634,1321,767,691,41,9863,9,9261,8624,637,373,202,53,9,8064,3724,4340,165,140,19,0,0,0,0,0,0,0,0,4,0,2,30.2,4120,2.39,1198,1434,673,501,193,75,46,1.64,515,1394,1512,492,161,46,51094,271,617,379,314,453,326,452,489,456,188,155,20
